mode,image,width,height,K,P,G,threads,wall_ms,ICV,PSNR
kmeans,512.png,512,512,8,20,50,1,363.19,312.013,27.9603
gka_seq,512.png,512,512,8,20,50,1,4548.19,312.012,27.9603
gka_omp,512.png,512,512,8,20,50,1,6241.84,312.013,27.9603
gka_omp,512.png,512,512,8,20,50,2,3307.73,312.013,27.9603
gka_omp,512.png,512,512,8,20,50,4,2020.63,312.013,27.9603
gka_omp,512.png,512,512,8,20,50,8,2004.88,312.013,27.9603
gka_omp,512.png,512,512,8,20,50,16,1674.43,312.012,27.9603
gka_cuda,512.png,512,512,8,20,50,1,3729.64,312.012,27.9603
kmeans,512.png,512,512,16,20,50,1,849.55,153.375,31.0445
gka_seq,512.png,512,512,16,20,50,1,9233.06,152.8,31.0608
gka_omp,512.png,512,512,16,20,50,1,11182.8,152.892,31.0582
gka_omp,512.png,512,512,16,20,50,2,6368.31,152.801,31.0607
gka_omp,512.png,512,512,16,20,50,4,4016.78,152.724,31.063
gka_omp,512.png,512,512,16,20,50,8,3404.36,152.785,31.0612
gka_omp,512.png,512,512,16,20,50,16,2777.02,152.822,31.0602
gka_cuda,512.png,512,512,16,20,50,1,1995.06,152.8,31.0608
kmeans,512.png,512,512,32,20,50,1,1004.78,80.594,33.839
gka_seq,512.png,512,512,32,20,50,1,22710.2,81.1618,33.8085
gka_omp,512.png,512,512,32,20,50,1,20295.4,81.0662,33.8136
gka_omp,512.png,512,512,32,20,50,2,12253.2,80.4174,33.8485
gka_omp,512.png,512,512,32,20,50,4,5184.67,80.7533,33.8304
gka_omp,512.png,512,512,32,20,50,8,5661.19,80.6916,33.8337
gka_omp,512.png,512,512,32,20,50,16,4665.59,80.0718,33.8672
gka_cuda,512.png,512,512,32,20,50,1,3500.43,81.1618,33.8085
kmeans,512.png,512,512,64,20,50,1,3368.21,45.0694,36.3632
gka_seq,512.png,512,512,64,20,50,1,43494.1,46.5738,36.2206
gka_omp,512.png,512,512,64,20,50,1,46573.4,46.884,36.1918
gka_omp,512.png,512,512,64,20,50,2,23319.7,47.1704,36.1653
gka_omp,512.png,512,512,64,20,50,4,14404.6,46.2856,36.2476
gka_omp,512.png,512,512,64,20,50,8,9515.89,47.1356,36.1685
gka_omp,512.png,512,512,64,20,50,16,8925.46,46.7781,36.2016
gka_cuda,512.png,512,512,64,20,50,1,3663.53,46.5738,36.2206
kmeans,1024.png,1024,1024,8,20,50,1,1129.14,371.68,27.2003
gka_seq,1024.png,1024,1024,8,20,50,1,24570.2,320.821,27.8394
gka_omp,1024.png,1024,1024,8,20,50,1,24526.5,320.821,27.8394
gka_omp,1024.png,1024,1024,8,20,50,2,14552.2,320.82,27.8394
gka_omp,1024.png,1024,1024,8,20,50,4,6646.15,320.82,27.8394
gka_omp,1024.png,1024,1024,8,20,50,8,7417.63,320.821,27.8394
gka_omp,1024.png,1024,1024,8,20,50,16,6359.2,320.82,27.8394
gka_cuda,1024.png,1024,1024,8,20,50,1,11201.7,320.821,27.8394
kmeans,1024.png,1024,1024,16,20,50,1,3479.54,160.879,30.837
gka_seq,1024.png,1024,1024,16,20,50,1,45308.1,160.338,30.8516
gka_omp,1024.png,1024,1024,16,20,50,1,42218.3,160.914,30.8361
gka_omp,1024.png,1024,1024,16,20,50,2,25647.7,160.35,30.8513
gka_omp,1024.png,1024,1024,16,20,50,4,13478.7,160.369,30.8508
gka_omp,1024.png,1024,1024,16,20,50,8,13294.6,160.296,30.8528
gka_omp,1024.png,1024,1024,16,20,50,16,8302.16,161.319,30.8252
gka_cuda,1024.png,1024,1024,16,20,50,1,12130.6,160.338,30.8516
kmeans,1024.png,1024,1024,32,20,50,1,6977.95,86.081,33.5529
gka_seq,1024.png,1024,1024,32,20,50,1,86358.3,85.7278,33.5708
gka_omp,1024.png,1024,1024,32,20,50,1,88561.2,85.9752,33.5583
gka_omp,1024.png,1024,1024,32,20,50,2,47615.6,85.5679,33.5789
gka_omp,1024.png,1024,1024,32,20,50,4,28995.3,85.5102,33.5818
gka_omp,1024.png,1024,1024,32,20,50,8,23458.8,86.8166,33.516
gka_omp,1024.png,1024,1024,32,20,50,16,16983.9,86.1612,33.5489
gka_cuda,1024.png,1024,1024,32,20,50,1,12937.6,85.7278,33.5708
kmeans,1024.png,1024,1024,64,20,50,1,12296.3,49.085,35.9925
gka_seq,1024.png,1024,1024,64,20,50,1,186534,50.79,35.8442
gka_omp,1024.png,1024,1024,64,20,50,1,184859,50.8635,35.838
gka_omp,1024.png,1024,1024,64,20,50,2,101965,50.69,35.8528
gka_omp,1024.png,1024,1024,64,20,50,4,59476.8,51.1398,35.8144
gka_omp,1024.png,1024,1024,64,20,50,8,44334.1,50.3666,35.8806
gka_omp,1024.png,1024,1024,64,20,50,16,33354.1,50.9023,35.8346
gka_cuda,1024.png,1024,1024,64,20,50,1,14638.7,50.79,35.8442
kmeans,2048.png,2048,2048,8,20,50,1,3146.08,369.345,27.2277
gka_seq,2048.png,2048,2048,8,20,50,1,106949,318.655,27.8688
gka_omp,2048.png,2048,2048,8,20,50,1,104580,318.656,27.8688
gka_omp,2048.png,2048,2048,8,20,50,2,58398.7,318.655,27.8688
gka_omp,2048.png,2048,2048,8,20,50,4,35856.4,318.655,27.8688
gka_omp,2048.png,2048,2048,8,20,50,8,29838.8,318.655,27.8688
gka_omp,2048.png,2048,2048,8,20,50,16,25709.1,318.656,27.8688
gka_cuda,2048.png,2048,2048,8,20,50,1,48880.3,318.655,27.8688
kmeans,2048.png,2048,2048,16,20,50,1,13308.3,159.203,30.8825
gka_seq,2048.png,2048,2048,16,20,50,1,186262,158.983,30.8885
gka_omp,2048.png,2048,2048,16,20,50,1,185954,159.429,30.8763
gka_omp,2048.png,2048,2048,16,20,50,2,101157,159.497,30.8745
gka_omp,2048.png,2048,2048,16,20,50,4,63268.1,158.879,30.8914
gka_omp,2048.png,2048,2048,16,20,50,8,49753.2,159.491,30.8747
gka_omp,2048.png,2048,2048,16,20,50,16,41419.3,158.888,30.8911
gka_cuda,2048.png,2048,2048,16,20,50,1,48581.1,158.983,30.8885
kmeans,2048.png,2048,2048,32,20,50,1,26710,85.3521,33.5899
gka_seq,2048.png,2048,2048,32,20,50,1,358380,84.8144,33.6173
gka_omp,2048.png,2048,2048,32,20,50,1,361035,84.8417,33.6159
gka_omp,2048.png,2048,2048,32,20,50,2,196067,85.2409,33.5955
gka_omp,2048.png,2048,2048,32,20,50,4,116111,85.123,33.6015
gka_omp,2048.png,2048,2048,32,20,50,8,93239.1,84.3284,33.6423
gka_omp,2048.png,2048,2048,32,20,50,16,73053.7,84.9217,33.6118
gka_cuda,2048.png,2048,2048,32,20,50,1,51857.4,84.8144,33.6173
kmeans,2048.png,2048,2048,64,20,50,1,55383.6,48.4988,36.0447
gka_seq,2048.png,2048,2048,64,20,50,1,755633,50.1936,35.8955
gka_omp,2048.png,2048,2048,64,20,50,1,763842,49.9298,35.9184
gka_omp,2048.png,2048,2048,64,20,50,2,405124,50.6505,35.8562
gka_omp,2048.png,2048,2048,64,20,50,4,226948,50.6591,35.8554
gka_omp,2048.png,2048,2048,64,20,50,8,175275,49.9458,35.917
gka_omp,2048.png,2048,2048,64,20,50,16,135420,50.0828,35.9051
gka_cuda,2048.png,2048,2048,64,20,50,1,52431.4,50.1936,35.8955
kmeans,4096.png,4096,4096,8,20,50,1,10133.2,369.384,27.2272
gka_seq,4096.png,4096,4096,8,20,50,1,436861,318.736,27.8677
gka_omp,4096.png,4096,4096,8,20,50,1,422272,318.734,27.8677
gka_omp,4096.png,4096,4096,8,20,50,2,235137,318.737,27.8677
gka_omp,4096.png,4096,4096,8,20,50,4,145816,318.736,27.8677
